model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
B 55 Baron (1978 & up),Propjet,-0.17538514766530913,0.28689916106247276,0.39277188658776546,0.8754151200382152,-0.2392312316121285,0.28985938086074264,0.18952461955287592,-0.08391606036456985,0.251290155897734,0.24407505850475475,0.2754106580868712,1.2796411661532605,0.30023181138002586,3000000.0
100 Darter (S.L. Industries),Propjet,-0.17538514766530913,0.07715456890865349,0.16826755006014757,0.9365284371961327,-0.2392312316121285,0.16495052022811094,0.18952461955287592,-0.08391606036456985,0.20774897456852304,0.24407505850475475,0.2754106580868712,1.2796411661532605,0.30023181138002586,2810000.0
100 Darter (S.L. Industries),Propjet,-0.17538514766530913,0.07715456890865349,0.18778966627994043,0.8143018028802979,-0.2392312316121285,0.19583457917573965,0.117530543655606,0.3938050080174277,0.20774897456852304,0.2299708042653967,0.3609527473149968,1.2796411661532605,0.39374654483776106,2720000.0
E 95 Travel Air (fuel inj.),Propjet,-0.17538514766530913,0.07715456890865349,0.15850649195025113,0.99764175435405,-0.2392312316121285,0.12720333706989806,0.0908660711010616,0.32313621091949907,0.17388361131247002,0.22908928837543685,0.2754106580868712,0.6740277058954789,0.35777933966170905,3020000.0
100 Darter (S.L. Industries),Propjet,-0.2033450348030177,0.2519417290368362,0.3439665960382833,0.8754151200382152,-0.2392312316121285,0.19583457917573965,-0.2602161508671065,0.19593237614322753,0.144856157092996,0.22908928837543685,0.2754106580868712,0.6740277058954789,0.5160350424363378,2840000.0
"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,-0.2704487639335182,-0.0014996531490287263,-0.07575890268726317,0.6309618514065457,-0.2671384763288286,-0.301741926091612,-0.22021944203528984,0.819231166546958,0.12550452094668002,0.29167691656258815,0.2754106580868712,1.2796411661532605,-0.013402217755147494,2680000.0
100 Darter (S.L. Industries),Piston,-0.2704487639335182,0.015979062863789546,-0.036714670247677446,0.5698485342486282,-0.28202234017773525,-0.301741926091612,0.45172526633922927,1.1881222873981456,0.12550452094668002,0.1580391076446707,0.2754106580868712,1.2796411661532605,-0.36731951668749907,2680000.0
B 36 TC Bonanza,Piston,-0.2704487639335182,0.015979062863789546,-0.046475728357573874,0.6309618514065457,-0.2787664949607869,-0.301741926091612,-0.22021944203528984,0.819231166546958,0.12550452094668002,0.13035950869993054,0.2754106580868712,1.2796411661532605,-0.2809982242649743,2680000.0
100 Darter (S.L. Industries),Piston,-0.2704487639335182,0.042197136883016954,0.002329562191908274,0.5698485342486282,-0.2787664949607869,-0.088985075563503,-0.22021944203528984,0.5817840082979179,0.09647706672720602,0.09157280954169592,0.2754106580868712,1.2796411661532605,-0.2809982242649743,2850000.0
A 36 Bonanza (300 hp),Piston,-0.2704487639335182,-0.05393580118748354,-0.0855199607971596,0.3865085827748761,-0.2750455289985602,-0.28458411556515156,-0.5313049551716412,0.4786075645349421,0.04809797636141602,0.07394249174249837,0.24689662834416265,1.2796411661532605,-0.23783757805371192,2800000.0
100 Darter (S.L. Industries),Piston,-0.2928166736436851,-0.05393580118748354,-0.13432525134664172,0.5698485342486282,-0.2787664949607869,-0.2331106839857704,-0.3313214110125582,0.5309024743874092,0.06744961250773203,0.1083216114509336,0.2754106580868712,1.2894091251896762,-0.2248893841903332,3000000.0
36 Bonanza,Piston,-0.2928166736436851,-0.05393580118748354,-0.13432525134664172,0.5698485342486282,-0.2787664949607869,-0.28458411556515156,-0.4335352224716451,0.026327263108198815,0.019070522141942024,0.10567706378105396,0.2754106580868712,0.7619393372232214,-0.2248893841903332,3130000.0
100 Darter (S.L. Industries),Piston,-0.2928166736436851,-0.12385066523875662,-0.13432525134664172,0.5698485342486282,-0.2866735476305186,-0.28458411556515156,-0.30910101721710453,0.3514037297586705,0.019070522141942024,0.04573398326378228,0.08294095732358849,0.7619393372232214,-0.40472541007059315,2700000.0
V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,-0.2704487639335182,0.27815980305606364,0.32444447981849045,0.7531884857223805,-0.29551084179080694,-0.07800407682656835,0.5139423689664996,1.8849166267837218,-0.07043079503476948,0.007828799995507537,0.13284050937332845,-0.009729426653629272,0.1419761086053971,3000000.0
100 Darter (S.L. Industries),Piston,-0.2704487639335182,0.304377877075291,0.39277188658776546,0.9365284371961327,-0.29551084179080694,-0.07800407682656835,0.5139423689664996,1.8849166267837218,-0.07043079503476948,-0.03624699450248635,0.13284050937332845,-0.009729426653629272,-0.1256198979044297,3080000.0
V 35 TC Turbo Bonanza,Piston,-0.2704487639335182,0.304377877075291,0.35372765414817975,0.9365284371961327,-0.29551084179080694,-0.06839570293175053,-0.3446536472898304,0.8602190688637567,-0.07526870407134847,-0.04946973285188452,0.13284050937332845,-0.009729426653629272,-0.1256198979044297,3130000.0
100 Darter (S.L. Industries),Piston,-0.23130492194072624,-0.08889323321312008,-0.0855199607971596,0.9365284371961327,-0.2824874609230136,-0.21595287345930997,0.02153844245924613,0.1676648573040561,0.23193851975141802,0.2581793127441128,0.24689662834416265,1.2112654528983495,-0.4162349157269298,2030000.0
S 35 Bonanza,Piston,-0.23130492194072624,-0.12385066523875662,-0.13432525134664172,0.7531884857223805,-0.2645803122297977,-0.2090897492487258,-0.06023260670802339,0.1676648573040561,0.21258688360510203,0.2696390193135912,0.2397681209084855,1.191729534825518,-0.04505335831007325,2140000.0
100 Darter (S.L. Industries),Piston,-0.23130492194072624,-0.09763259121952922,-0.12456419323674531,0.6309618514065457,-0.2806269779419003,-0.3188997366180724,0.027760152721973158,-0.22949378238630283,0.17388361131247002,0.31195178203166535,0.0686839424522342,0.9670664769879538,-0.3932159044142565,2300000.0
"K,M 35 Bonanza",Piston,-0.23130492194072624,-0.12385066523875662,-0.16360842567633102,0.3865085827748761,-0.2806269779419003,-0.3600784818815774,-0.2557720721080157,-0.38355176005978725,0.12066661191010103,0.24495657439471463,0.0686839424522342,0.9670664769879538,-0.401848033656509,2050000.0
100 Darter (S.L. Industries),Piston,-0.2928166736436851,-0.08889323321312008,-0.19289160000602032,0.692075168564463,-0.2866735476305186,-0.3051734881969041,-0.7090681055352707,0.15353109788447036,-0.019632750150689975,0.017525474785066192,-0.07388620626130854,0.7521713781868056,-0.17885136156498666,2950000.0
H 35 Bonanza,Piston,-0.2928166736436851,-0.04519644318107441,-0.1538473675664346,0.692075168564463,-0.2866735476305186,-0.27085786714398324,-0.7090681055352707,0.15353109788447036,-0.048660204370163974,0.013999411225226679,-0.07388620626130854,0.7521713781868056,-0.14144546818189258,2950000.0
100 Darter (S.L. Industries),Piston,-0.31798057206762276,-0.24620167732848453,-0.21241371622581318,0.08094199698528913,-0.2973713247719203,-0.18163725240638917,-0.7001799480170892,-0.39485876759545585,-0.11639093088226998,-0.04946973285188452,-0.07388620626130854,0.7521713781868056,-0.34717788178890996,2000000.0
"C, D 35 Bonanza",Piston,-0.32916452692270615,-0.31611654137975764,-0.37835170409405244,-0.04128463733054565,-0.2973713247719203,-0.18163725240638917,-0.7001799480170892,-0.5036887151262659,-0.14541838510174399,-0.07485739048272899,-0.07388620626130854,0.6837956649318947,-0.2666113421945535,2000000.0
100 Darter (S.L. Industries),Piston,-0.33755249306401874,-0.32485589938616677,-0.39787382031384533,-0.04128463733054565,-0.2973713247719203,-0.18163725240638917,-0.6255194248643648,-0.7298288658396376,-0.14541838510174399,-0.0776782413306006,-0.07388620626130854,0.6837956649318947,-0.25654052474525896,2000000.0
35 Bonanza,Piston,-0.33755249306401874,-0.32485589938616677,-0.40763487842374174,-0.2857379059622152,-0.2973713247719203,-0.18163725240638917,-0.620186530353456,-0.7298288658396376,-0.19379747546753398,-0.10236068624947718,-0.07388620626130854,0.6837956649318947,-0.27236609502272185,1900000.0
100 Darter (S.L. Industries),Piston,-0.3012046397849976,0.40925017315220064,0.314683421708594,1.0587550715119673,-0.28992939284746694,-0.16447944187992877,0.5290522367474081,0.9831827758141525,-0.12606674895542797,-0.0625161680232907,-0.20219934010349702,-0.1757847302726984,0.14629217322652335,2500000.0
F & E 33-C Bonanza (conventional tail),Piston,-0.30959260592631016,0.365553383120155,0.13898437573045827,1.1198683886698848,-0.28992939284746694,-0.1274185711427743,0.2917384310119628,1.0835324676932112,-0.13574256702858598,-0.0697445983209617,-0.20932784753917416,-0.1757847302726984,0.3146186934504467,2500000.0
100 Darter (S.L. Industries),Piston,-0.30959260592631016,0.14706943295992658,0.07065696896118327,1.1198683886698848,-0.28992939284746694,-0.199481375353908,0.6339324954619494,1.0835324676932112,-0.13574256702858598,-0.0697445983209617,-0.20932784753917416,-0.1757847302726984,0.2772128000673526,2500000.0
E 33 A Bonanza (conventional tail),Piston,-0.3012046397849976,0.40925017315220064,0.314683421708594,1.0587550715119673,-0.28992939284746694,-0.16447944187992877,0.5290522367474081,0.9831827758141525,-0.12606674895542797,-0.10447632438538089,-0.20219934010349702,-0.1757847302726984,0.14629217322652335,2500000.0
