model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,5.783825182329737,5.564520407322694,5.44673737166631,78.0,5.111987788356544,7.29641326877392,7.879669914604289,7.794411205726601,8.732304571033183,8.300528606199737,5.883322388488279,6.118097198041348,6.920671504248683,14.73180128983843
F & E 33-C Bonanza (conventional tail),Piston,5.736572297479192,5.545177444479562,5.365976015021851,79.0,5.111987788356544,7.332369205929062,7.773173680482536,7.823245690685523,8.716044050161402,8.290292591224315,5.8805329864007,6.118097198041348,7.029972911706386,14.73180128983843
100 Darter (S.L. Industries),Piston,5.736572297479192,5.442417710521793,5.332718793265369,79.0,5.111987788356544,7.261225091971921,7.923348211930154,7.823245690685523,8.716044050161402,8.290292591224315,5.8805329864007,6.118097198041348,7.00669522683704,14.73180128983843
E 33 A Bonanza (conventional tail),Piston,5.783825182329737,5.564520407322694,5.44673737166631,78.0,5.111987788356544,7.29641326877392,7.879669914604289,7.794411205726601,8.732304571033183,8.239593454305968,5.883322388488279,6.118097198041348,6.920671504248683,14.73180128983843
100 Darter (S.L. Industries),Piston,5.736572297479192,5.521460917862246,5.365976015021851,79.0,5.111987788356544,7.2868764117507,7.773173680482536,7.823245690685523,8.716044050161402,8.237479288613633,5.8805329864007,6.118097198041348,7.029972911706386,14.73180128983843
C 33 A Debonair,Piston,5.703782474656201,5.337538079701318,5.272999558563747,74.0,4.912654885736052,7.4673710669175595,7.771067086065406,7.823245690685523,8.612503371220562,8.144098463338524,5.8805329864007,6.118097198041348,7.011213987350367,14.54247928699973
100 Darter (S.L. Industries),Piston,5.652489180268651,5.337538079701318,5.272999558563747,74.0,4.912654885736052,7.414572881350589,7.650168700845001,7.823245690685523,8.594154232552366,8.119993827725105,5.8805329864007,6.118097198041348,7.011213987350367,14.436087045689384
"A,B 33 Debonair",Piston,5.940171252720432,5.529429087511423,5.5093883366279774,73.0,4.955827057601261,7.61085279039525,7.258412150595307,7.640123172695364,8.697846691109495,8.216088098632316,5.8522024797744745,6.118097198041348,6.602587892189336,14.98489191752059
100 Darter (S.L. Industries),Piston,5.940171252720432,5.529429087511423,5.5093883366279774,73.0,4.955827057601261,7.61085279039525,7.258412150595307,7.640123172695364,8.697846691109495,8.202482446576537,5.82600010738045,6.118097198041348,6.602587892189336,14.98489191752059
"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,5.652489180268651,5.337538079701318,5.272999558563747,73.0,4.605170185988092,7.427738840532894,6.875232087276577,7.254177846456518,8.575462099540212,8.098946748943339,5.8522024797744745,6.118097198041348,6.839476438228843,14.462613800022813
100 Darter (S.L. Industries),Piston,5.652489180268651,5.3471075307174685,5.298317366548036,67.0,4.718498871295094,7.4205789054108005,6.875232087276577,7.254177846456518,8.575462099540212,8.031060180240619,5.82600010738045,6.118097198041348,6.309918278226516,14.552674623940995
A-24R Sierra 200,Piston,5.560681631015528,5.303304908059076,5.214935757608986,73.0,4.605170185988092,7.4342573821331355,7.675081857716334,7.672292455628756,8.536995818712418,8.082093278178382,5.817111159963204,6.118097198041348,6.6052979209482015,14.473030560881067
100 Darter (S.L. Industries),Piston,5.560681631015528,5.3230099791384085,5.278114659230517,68.0,4.718498871295094,7.4205789054108005,7.110696122978827,7.222566018822171,8.536995818712418,8.031060180240619,5.780743515792329,6.118097198041348,6.637258031284457,14.493544100714171
C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,5.560681631015528,5.298317366548036,5.25227342804663,66.0,4.718498871295094,7.438383530044307,7.438383530044307,7.293017679772782,8.492900498847193,7.992944547318106,5.75890177387728,6.113682179832232,6.61338421837956,14.48333993053993
100 Darter (S.L. Industries),Piston,5.560681631015528,5.298317366548036,5.25227342804663,66.0,4.718498871295094,7.396335293800808,7.438383530044307,7.293017679772782,8.492900498847193,7.992944547318106,5.726847747587197,6.113682179832232,6.61338421837956,14.467835744003965
"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,5.19295685089021,5.209486152841421,5.159055299214529,61.0,4.382026634673881,7.1308988302963465,7.154615356913663,7.371489295214277,8.34283980427146,7.882314918980268,5.707110264748875,6.09807428216624,6.493753839851686,14.408837403242009
100 Darter (S.L. Industries),Piston,5.19295685089021,5.209486152841421,5.159055299214529,61.0,4.382026634673881,7.1308988302963465,7.649692623711514,7.52294091807237,8.34283980427146,7.876638460975463,5.713732805509369,6.09807428216624,6.493753839851686,14.408837403242009
